Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Expiration Date,Spot
AAPL230324C00125000,2023-02-09 11:35AM EST,125.0,28.79,26.3,26.55,0.0,-,7,12,42.70%,1,150.5800018310547
AAPL230324C00128000,2023-02-06 10:21AM EST,128.0,25.0,23.5,23.75,0.0,-,1,10,40.72%,1,150.5800018310547
AAPL230324C00130000,2023-02-09 10:25AM EST,130.0,24.25,21.65,21.9,0.0,-,1,19,39.33%,1,150.5800018310547
AAPL230324C00131000,2023-02-10 10:39AM EST,131.0,21.1,20.75,20.95,-1.1,-4.95%,1,11,38.33%,1,150.5800018310547
AAPL230324C00132000,2023-02-08 9:51AM EST,132.0,22.96,19.9,20.05,0.0,-,4,111,37.74%,1,150.5800018310547
AAPL230324C00133000,2023-02-03 2:49PM EST,133.0,23.1,18.85,19.2,0.0,-,10,11,37.53%,1,150.5800018310547
AAPL230324C00134000,2023-02-07 9:30AM EST,134.0,19.3,18.1,18.35,0.0,-,1,0,37.18%,1,150.5800018310547
AAPL230324C00135000,2023-02-10 2:26PM EST,135.0,17.64,17.2,17.5,-1.56,-8.13%,22,120,36.77%,1,150.5800018310547
AAPL230324C00136000,2023-02-10 10:41AM EST,136.0,16.65,16.35,16.65,-0.4,-2.35%,1,163,36.28%,1,150.5800018310547
AAPL230324C00137000,2023-02-10 10:43AM EST,137.0,15.85,15.5,15.8,-1.14,-6.71%,19,64,35.71%,1,150.5800018310547
AAPL230324C00138000,2023-02-09 2:41PM EST,138.0,15.97,14.7,15.0,0.0,-,1,49,35.39%,1,150.5800018310547
AAPL230324C00139000,2023-02-10 10:24AM EST,139.0,14.76,13.9,14.2,-0.44,-2.89%,1,18,34.97%,1,150.5800018310547
AAPL230324C00140000,2023-02-10 1:35PM EST,140.0,13.75,13.2,13.4,0.13,+0.95%,13,184,34.47%,1,150.5800018310547
AAPL230324C00141000,2023-02-10 10:53AM EST,141.0,12.66,12.4,12.6,-1.98,-13.52%,13,82,33.90%,1,150.5800018310547
AAPL230324C00142000,2023-02-10 12:37PM EST,142.0,11.69,11.55,11.95,-0.93,-7.37%,5,43,34.08%,1,150.5800018310547
AAPL230324C00143000,2023-02-10 2:28PM EST,143.0,11.18,10.9,11.15,-0.97,-7.98%,13,20,33.31%,1,150.5800018310547
AAPL230324C00144000,2023-02-10 12:26PM EST,144.0,10.21,10.2,10.45,-0.86,-7.77%,11,38,33.00%,1,150.5800018310547
AAPL230324C00145000,2023-02-10 11:11AM EST,145.0,10.13,9.5,9.8,-0.56,-5.24%,31,505,32.85%,1,150.5800018310547
AAPL230324C00146000,2023-02-10 10:37AM EST,146.0,9.44,8.9,9.1,-0.81,-7.90%,4,323,32.32%,1,150.5800018310547
AAPL230324C00147000,2023-02-10 12:50PM EST,147.0,8.24,8.3,8.5,-1.59,-16.17%,3,35,32.20%,1,150.5800018310547
AAPL230324C00148000,2023-02-10 11:25AM EST,148.0,8.15,7.55,7.85,-0.15,-1.81%,3,163,31.71%,1,150.5800018310547
AAPL230324C00149000,2023-02-10 1:15PM EST,149.0,7.35,7.1,7.25,-0.72,-8.92%,6,171,31.37%,1,150.5800018310547
AAPL230324C00150000,2023-02-10 2:22PM EST,150.0,6.82,6.55,6.7,-0.13,-1.87%,296,442,31.15%,1,150.5800018310547
AAPL230324C00152500,2023-02-10 1:34PM EST,152.5,5.55,5.25,5.35,-0.15,-2.63%,56,723,30.20%,1,150.5800018310547
AAPL230324C00155000,2023-02-10 1:25PM EST,155.0,4.53,4.15,4.2,0.03,+0.67%,36,1251,29.46%,1,150.5800018310547
AAPL230324C00157500,2023-02-10 1:15PM EST,157.5,3.33,3.2,3.25,-0.21,-5.93%,71,686,28.92%,1,150.5800018310547
AAPL230324C00160000,2023-02-10 2:42PM EST,160.0,2.42,2.39,2.45,-0.46,-15.97%,201,1881,28.36%,1,150.5800018310547
AAPL230324C00162500,2023-02-10 1:50PM EST,162.5,1.93,1.77,1.83,-0.4,-17.17%,66,725,28.00%,1,150.5800018310547
AAPL230324C00165000,2023-02-10 2:42PM EST,165.0,1.3,1.3,1.35,-0.23,-15.03%,148,1440,27.77%,1,150.5800018310547
AAPL230324C00167500,2023-02-10 1:41PM EST,167.5,1.02,0.94,0.98,-0.16,-13.56%,110,681,27.58%,1,150.5800018310547
AAPL230324C00170000,2023-02-10 2:09PM EST,170.0,0.74,0.67,0.7,-0.09,-10.84%,120,934,27.42%,1,150.5800018310547
AAPL230324C00172500,2023-02-10 2:42PM EST,172.5,0.5,0.48,0.51,-0.16,-24.24%,16,970,27.49%,1,150.5800018310547
AAPL230324C00175000,2023-02-10 2:04PM EST,175.0,0.38,0.35,0.38,-0.05,-11.63%,19,1210,27.78%,1,150.5800018310547
AAPL230324C00177500,2023-02-10 12:34PM EST,177.5,0.27,0.26,0.28,-0.12,-30.77%,1,174,28.03%,1,150.5800018310547
AAPL230324C00180000,2023-02-10 1:36PM EST,180.0,0.21,0.19,0.21,-0.04,-16.00%,9,113,28.37%,1,150.5800018310547
AAPL230324C00185000,2023-02-10 1:46PM EST,185.0,0.14,0.11,0.13,0.0,-,508,177,29.49%,1,150.5800018310547
AAPL230324C00195000,2023-02-09 1:27PM EST,195.0,0.06,0.05,0.06,0.0,-,6,231,32.03%,1,150.5800018310547
AAPL230324C00200000,2023-02-09 3:47PM EST,200.0,0.03,0.02,0.05,0.0,-,69,159,33.99%,1,150.5800018310547
